Sample Name:,At a glance:,,,,,,,,Status:,Notes:,Process ID:,Used By:,Deposition Parameters:,,,,,,,,,,,,,,Thickness Measurements:,,,,,,Resistance Measurements:,,,,,,,,,
,Substrate:,d (nm),Rs,Tc,Delta Tc,Rho,RRR,Rho*Tc,,,,,Deposition Date:,Run #:,Substrate:,SiNx or SiO2 Thickness (nm):,Chuck Slot:,Temperature (C):,Deposition Time (s),Current setpoint (mA) -or- Power setpoint (W),Nitrogen Flow (sccm),Argon Flow (sccm),Pressure (mTorr),Chuck Height (mm),Pre-deposition Spark Power (W),"Peak Power, Shutter Open (W)",Reflectance:,Transmittance:,Absorptance:,Synthesis Protocol:,Thickness (nm) (Visible Trans),Thickness (nm) (IR Trans),R_sheet Initial,R_sheet_Tc,T_C,Delta T_C,RRR,Synthesis Protocol:,rho (uOhm*cm):,rho*Tc (Ohm*nm*K):,deposition rate (nm/min):,Exclude (Y if yes else ''):
ANM023,MgO,3.4,,7.7,2.14,0,,0,,Adam Fab,,,2/24/12,30,MgO,,,800,50,400,,,,47,,,0.1766,0.6326,0.1908,based on T,3.44,,,,7.7,2.14,,Extracted via MATLAB,0,0,4.13,
ANM024,MgO,3.4,776,,,261,,0,,,,,2/24/12,30,MgO,,,800,50,400,,,,47,,,0.1759,0.6369,0.1872,based on T,3.36,,776.5,,,,,,260.89,0,4.03,
ANM025,MgO,4.4,,,,0,,0,,Adam Fab,,,2/27/12,31,MgO,,,800,65,400,,,,47,,,0.1954,0.5834,0.2211,based on T,4.39,,,,,,,,0,0,4.05,
ANM026,MgO,4.5,363,11.2,1.25,164,0.725,"18,323",measured w/ In,Tc Meas,,,2/27/12,31,MgO,,,800,65,400,,,,47,,,0.1958,0.5778,0.2264,based on T,4.51,,362.7,,11.2,1.25,0.73,manual,163.6,"18,322.84",4.16,
ANM027,MgO,,,,,0,,0,,Najafi Fab,,,2/27/12,31,MgO,,,800,65,400,,,,47,,,,,,,,,,,,,,,0,0,0,
ANM028,MgO,,,,,0,,0,,Najafi Fab,,,2/27/12,31,MgO,,,800,65,400,,,,47,,,,,,,,,,,,,,,0,0,0,
ANM029,MgO,4.4,343,,,150,,0,,Adam Fab,,,2/27/12,32,MgO,,,800,65,400,,,,47,,,0.1955,0.5844,0.2201,based on T,4.37,,343,,,,,,149.89,0,4.03,
ANM030,MgO,4.3,307,12.4,1.11,133,0.841,"16,442",measured w/ In,Tc Meas,,,2/27/12,32,MgO,,,800,65,400,,,,47,,,0.1933,0.5869,0.2198,based on T,4.32,,306.9,,12.4,1.11,0.84,manual,132.6,"16,441.93",3.99,
ANM031,MgO,,296,,,0,,0,,Najafi Fab,,,2/27/12,32,MgO,,,800,65,400,,,,47,,,,,,,,,296.4,,,,,,0,0,0,
ANM032,MgO,,303,,,0,,0,,Najafi Fab,,,2/27/12,32,MgO,,,800,65,400,,,,47,,,,,,,,,302.7,,,,,,0,0,0,
ANM033,MgO,4.3,,,,0,,0,,Adam Fab,,,2/28/12,33,MgO,,,800,65,400,,,,47,,,0.1938,0.5876,0.2186,based on T,4.31,,,,,,,,0,0,3.98,
ANM034,MgO,4.5,326,12,1.41,147,0.849,"17,684",measured w/ In,Tc Meas,,,2/28/12,33,MgO,,,800,65,400,,,,47,,,0.1961,0.5774,0.2264,based on T,4.52,,326,,12,1.41,0.85,manual,147.37,"17,684.08",4.17,
ANM035,MgO,,271,,,0,,0,,Najafi Fab,,,2/28/12,33,MgO,,,800,65,400,,,,47,,,,,,,,,271.5,,,,,,0,0,0,
ANM036,MgO,,285,,,0,,0,,Najafi Fab,,,2/28/12,33,MgO,,,800,65,400,,,,47,,,,,,,,,285,,,,,,0,0,0,
DDF001,MgO,3.6,409,11.8,1.35,146,0.828,"17,224",measured w/ In,Single-run variability (Tc) tests,,,3/1/12,34,MgO,,,800,55,400,,,,47,,,0.154,0.6256,0.2204,based on T,3.57,,408.9,,11.8,1.35,0.83,manual,145.97,"17,224.29",3.89,
DDF002,MgO,3.7,424,11.3,1.71,156,0.807,"17,669",measured w/ In,Single-run variability (Tc) tests,,,3/1/12,34,MgO,,,800,55,400,,,,47,,,0.195,0.6192,0.1858,based on T,3.69,,423.8,,11.3,1.71,0.81,manual,156.37,"17,669.41",4.03,
DDF003,MgO,3.3,656,11.6,0.65,215,0.79,"24,942",measured w/ In,Single-run variability (Tc) tests,,,3/1/12,34,MgO,,,800,55,400,,,,47,,,0.1697,0.6414,0.1889,based on T,3.28,,655.5,,11.6,0.65,0.79,manual,215.02,"24,942.00",3.58,
DDF004,MgO,3.4,669,11.4,1.86,226,0.729,"25,790",measured w/ In,Single-run variability (Tc) tests,,,3/1/12,34,MgO,,,800,55,400,,,,47,,,0.1745,0.6359,0.1896,based on T,3.38,,669.3,,11.4,1.86,0.73,manual,226.23,"25,789.70",3.69,
DDF005,MgO,2,"1,790",,,365,,0,,Single-run variability (Tc) tests,,,3/5/12,35,MgO,,,800,45,400,,,,47,,,0.1599,0.7149,0.1252,based on T,2.04,,"1,790.00",,,,,,365.16,0,2.72,
DDF006,MgO,3.7,510,,,187,,0,,Single-run variability (Tc) tests,,,3/5/12,35,MgO,,,800,45,400,,,,47,,,0.1891,0.6203,0.1906,based on T,3.67,,509.7,,,,,,187.06,0,4.89,
DDF007,MgO,4.1,361,,,148,,0,,Single-run variability (Tc) tests,,,3/5/12,35,MgO,,,800,45,400,,,,47,,,0.184,0.5973,0.2187,based on T,4.1,,360.9,,,,,,147.96,0,5.47,
DDF008,MgO,2.6,"1,037",,,264,,0,,Single-run variability (Tc) tests,,,3/5/12,35,MgO,,,800,45,400,,,,47,,,0.1711,0.6838,0.1451,based on T,2.55,,"1,036.80",,,,,,264.37,0,3.4,
DDF009,MgO,21.4,48,,,103,,0,,Thickness/rate test,,,3/6/12,36,MgO,,,800,300,400,,,,47,,,0.389,0.1798,0.4312,based on T,21.41,,48.2,,,,,,103.29,0,4.28,
DDF010,MgO,21.6,45,,,98,,0,,Thickness/rate test,,,3/6/12,36,MgO,,,800,300,400,,,,47,,,0.5168,0.1773,0.3059,based on T,21.64,,45.4,,,,,,98.22,0,4.33,
DDF011BAD,MgO,,,,,0,,0,,,,,3/8/12,37,MgO,,,,300,400,,,,47,,,,,,,,,,,,,,,0,0,0,
DDF012BAD,MgO,,,,,0,,0,,,,,3/8/12,37,MgO,,,,300,400,,,,47,,,,,,,,,,,,,,,0,0,0,
HAK111,NA,3.8,386,,,148,,0,in dry box,unknown,,,8/18/11,,NA,,,,,,,,,47,,,0.1837,0.6113,0.205,based on T,3.83,,386.3,,,,"9,999.00",manual,147.95,0,#DIV/0!,
HAK112,,,,,,0,,0,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,0,0,#DIV/0!,
HAK109,NA,4.6,257,,,118,,0,in dry box,unknown,,,8/18/11,,NA,,,,,,,,,47,,,0.1978,0.5733,0.2289,based on T,4.6,,256.7,,,,"9,999.00",manual,118.09,0,#DIV/0!,
DDF011,MgO,5.6,388,,,216,,0,Ready for Tc; ON HOLD,Thickness/rate test; Tc Meas,,,3/12/12,38,MgO,,,800,300,400,,,,47,,,0.2077,0.53,0.2624,based on T,5.558,,387.8,,,,,,215.54,0,1.11,
DDF012,MgO,5.6,398,,,221,,0,Sputtered @ half-power,Thickness/rate test,,,3/12/12,38,MgO,,,800,300,400,,,,47,,,0.2069,0.5301,0.263,based on T,5.553,,397.6,,,,,,220.78,0,1.11,
DDF013,MgO,5.5,485,,,268,,0,Ready for Tc; ON HOLD,Thickness/rate test; Tc Meas,,,3/12/12,38,MgO,,,800,300,400,,,,47,,,0.2123,0.5315,0.2561,based on T,5.52,,485.3,,,,,,267.87,0,1.1,
DDF014,MgO,5.5,402,,,221,,0,Sputtered @ half-power,Thickness/rate test,,,3/12/12,38,MgO,,,800,300,400,,,,47,,,0.1963,0.5325,0.2712,based on T,5.497,,402.4,,,,,,221.21,0,1.1,
DDF015,MgO,,141,,,0,,0,QZ checking w/ DDF,Thickness/rate test; TMAH etching rate,,,3/13/12,39,MgO,,,800,300,400,,,,47,,,,,,,,,141.4,,,,,,0,0,0,
DDF016,MgO,,139,,,0,,0,,Thickness/rate test; TMAH etching rate,,,3/13/12,39,MgO,,,800,300,400,,,,47,,,,,,,,,139.1,,,,,,0,0,0,
DDF017,MgO,,117,,,0,,0,,Thickness/rate test; TMAH etching rate,,,3/13/12,39,MgO,,,800,300,400,,,,47,,,,,,,,,116.7,,,,,,0,0,0,
DDF018,MgO,,135,,,0,,0,,Thickness/rate test; TMAH etching rate,,,3/13/12,39,MgO,,,800,300,400,,,,47,,,,,,,,,135.2,,,,,,0,0,0,
DDF019,MgO,,,,,0,,0,will be dep. on both sides,Reproducibility Test at R.T.,,,3/13/12,40,MgO,,,20,55,400,,,,47,,,,,,,,,,,,,,,0,0,0,
DDF020,MgO,,,,,0,,0,will be dep. on both sides,Reproducibility Test at R.T.,,,3/13/12,40,MgO,,,20,55,400,,,,47,,,,,,,,,,,,,,,0,0,0,
DDF021,MgO,,,,,0,,0,will be dep. on both sides,Reproducibility Test at R.T.,,,3/13/12,40,MgO,,,20,55,400,,,,47,,,,,,,,,,,,,,,0,0,0,
DDF022,MgO,,,,,0,,0,will be dep. on both sides,Reproducibility Test at R.T.,,,3/13/12,40,MgO,,,20,55,400,,,,47,,,,,,,,,,,,,,,0,0,0,
DDF023,MgO,,,,,0,,0,will be dep. on both sides,Reproducibility Test at R.T.,,,3/13/12,41,MgO,,,20,55,400,,,,47,,,,,,,,,,,,,,,0,0,0,
DDF024,MgO,,,,,0,,0,will be dep. on both sides,Reproducibility Test at R.T.,,,3/13/12,41,MgO,,,20,55,400,,,,47,,,,,,,,,,,,,,,0,0,0,
DDF025,MgO,,,,,0,,0,will be dep. on both sides,Reproducibility Test at R.T.,,,3/13/12,41,MgO,,,20,55,400,,,,47,,,,,,,,,,,,,,,0,0,0,
DDF026,MgO,,,,,0,,0,will be dep. on both sides,Reproducibility Test at R.T.,,,3/13/12,41,MgO,,,20,55,400,,,,47,,,,,,,,,,,,,,,0,0,0,
DDF027,MgO,,837,,,0,,0,Rs-Thickness Correlation?,Reproducibility Test at R.T.,,,3/14/12,43,MgO,,,20,55,400,,,,47,,,,,,,,,836.7,,,,,,0,0,0,
DDF028,MgO,,837,,,0,,0,Rs-Thickness Correlation?,Reproducibility Test at R.T.,,,3/14/12,43,MgO,,,20,55,400,,,,47,,,,,,,,,837.5,,,,,,0,0,0,
DDF029,MgO,,773,,,0,,0,Rs-Thickness Correlation?,Reproducibility Test at R.T.,,,3/14/12,43,MgO,,,20,55,400,,,,47,,,,,,,,,773.1,,,,,,0,0,0,
DDF030,MgO,,753,,,0,,0,Rs-Thickness Correlation?,Reproducibility Test at R.T.,,,3/14/12,43,MgO,,,20,55,400,,,,47,,,,,,,,,752.5,,,,,,0,0,0,
DDF031,MgO,,732,,,0,,0,Rs-Thickness Correlation?,Reproducibility Test at R.T.,,,3/15/12,44,MgO,,,20,55,400,,,,47,,,,,,,,,731.7,,,,,,0,0,0,
DDF032,MgO,,735,,,0,,0,Rs-Thickness Correlation?,Reproducibility Test at R.T.,,,3/15/12,44,MgO,,,20,55,400,,,,47,,,,,,,,,734.7,,,,,,0,0,0,
DDF033,MgO,,"1,981",,,0,,0,Rs-Thickness Correlation?,Reproducibility Test at R.T.,,,3/15/12,44,MgO,,,20,55,400,,,,47,,,,,,,,,"1,981.40",,,,,,0,0,0,
